HR,SpO2
100.0,96.0
101.0,97.0
89.0,100.0
85.0,100.0
87.0,100.0
87.0,100.0
86.0,100.0
86.0,100.0
89.0,100.0
86.0,100.0
86.0,100.0
88.0,100.0
87.0,100.0
89.0,100.0
89.0,100.0
88.0,100.0
85.0,100.0
88.0,100.0
88.0,100.0
87.0,100.0
88.0,100.0
86.0,100.0
87.0,100.0
88.0,100.0
89.0,100.0
85.0,100.0
85.0,100.0
87.0,100.0
89.0,100.0
87.0,100.0
87.0,100.0
89.0,100.0
88.0,100.0
87.0,100.0
87.0,100.0
88.0,100.0
86.0,100.0
87.0,100.0
87.0,100.0
85.0,100.0
88.0,100.0
86.0,100.0
87.0,100.0
87.0,100.0
86.0,100.0
86.0,100.0
88.0,100.0
89.0,100.0
83.0,100.0
85.0,100.0
84.0,100.0
84.0,100.0
85.0,100.0
86.0,100.0
85.0,100.0
88.0,100.0
89.0,100.0
90.0,100.0
91.0,100.0
90.0,100.0
92.0,100.0
93.0,100.0
93.0,100.0
91.0,100.0
91.0,100.0
93.0,100.0
91.0,100.0
92.0,100.0
89.0,100.0
89.0,100.0
86.0,100.0
83.0,100.0
82.0,100.0
82.0,100.0
83.0,100.0
82.0,100.0
83.0,100.0
83.0,100.0
81.0,100.0
83.0,100.0
82.0,100.0
83.0,100.0
80.0,100.0
78.0,100.0
77.0,100.0
74.0,100.0
77.0,100.0
78.0,100.0
77.0,100.0
78.0,100.0
77.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
80.0,100.0
78.0,100.0
81.0,100.0
81.0,100.0
79.0,100.0
80.0,100.0
82.0,100.0
81.0,100.0
81.0,100.0
79.0,100.0
78.0,100.0
78.0,100.0
79.0,100.0
81.0,100.0
80.0,100.0
84.0,100.0
83.0,100.0
83.0,100.0
82.0,100.0
81.0,100.0
82.0,100.0
81.0,100.0
81.0,100.0
81.0,100.0
79.0,100.0
76.0,100.0
78.0,100.0
80.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
80.0,100.0
78.0,100.0
79.0,100.0
80.0,100.0
80.0,100.0
78.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
79.0,100.0
79.0,100.0
82.0,100.0
82.0,100.0
81.0,100.0
78.0,100.0
79.0,100.0
82.0,100.0
82.0,100.0
84.0,100.0
85.0,100.0
91.0,100.0
94.0,100.0
99.0,100.0
99.0,100.0
95.0,100.0
93.0,100.0
93.0,100.0
90.0,100.0
89.0,100.0
85.0,100.0
82.0,100.0
79.0,100.0
76.0,100.0
79.0,100.0
81.0,100.0
80.0,100.0
80.0,100.0
78.0,100.0
82.0,100.0
84.0,100.0
86.0,100.0
85.0,100.0
80.0,100.0
81.0,100.0
83.0,100.0
85.0,100.0
84.0,100.0
83.0,100.0
79.0,100.0
77.0,100.0
80.0,100.0
80.0,100.0
79.0,100.0
78.0,100.0
78.0,100.0
80.0,100.0
79.0,100.0
80.0,100.0
79.0,100.0
80.0,100.0
80.0,100.0
80.0,100.0
80.0,100.0
79.0,100.0
82.0,100.0
83.0,100.0
83.0,100.0
83.0,100.0
83.0,100.0
82.0,100.0
85.0,100.0
85.0,100.0
84.0,100.0
85.0,100.0
82.0,100.0
80.0,100.0
81.0,100.0
83.0,100.0
82.0,100.0
79.0,100.0
80.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
79.0,100.0
80.0,100.0
80.0,100.0
82.0,100.0
82.0,100.0
84.0,100.0
82.0,100.0
83.0,100.0
84.0,100.0
86.0,100.0
84.0,100.0
83.0,100.0
83.0,100.0
81.0,100.0
82.0,100.0
85.0,100.0
83.0,100.0
81.0,100.0
80.0,100.0
81.0,100.0
81.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
78.0,100.0
80.0,100.0
78.0,100.0
78.0,100.0
78.0,99.0
79.0,99.0
79.0,99.0
79.0,99.0
82.0,98.0
81.0,98.0
80.0,99.0
82.0,99.0
81.0,100.0
82.0,100.0
84.0,100.0
83.0,100.0
81.0,100.0
84.0,100.0
85.0,100.0
83.0,100.0
83.0,100.0
83.0,100.0
82.0,99.0
79.0,99.0
80.0,99.0
80.0,99.0
81.0,99.0
79.0,99.0
81.0,99.0
80.0,99.0
83.0,99.0
80.0,99.0
81.0,99.0
83.0,100.0
83.0,100.0
83.0,100.0
81.0,100.0
82.0,100.0
79.0,100.0
81.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
80.0,100.0
81.0,100.0
79.0,100.0
81.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
81.0,100.0
82.0,100.0
80.0,100.0
82.0,100.0
81.0,100.0
79.0,100.0
80.0,100.0
81.0,100.0
79.0,100.0
85.0,100.0
82.0,100.0
83.0,100.0
82.0,100.0
82.0,100.0
85.0,100.0
82.0,100.0
83.0,100.0
80.0,100.0
77.0,100.0
80.0,100.0
81.0,100.0
81.0,100.0
80.0,99.0
78.0,99.0
80.0,99.0
79.0,99.0
81.0,99.0
82.0,99.0
87.0,100.0
92.0,100.0
98.0,100.0
104.0,100.0
108.0,100.0
108.0,100.0
104.0,100.0
102.0,100.0
101.0,100.0
96.0,100.0
90.0,100.0
85.0,100.0
85.0,100.0
84.0,99.0
84.0,99.0
84.0,99.0
82.0,99.0
81.0,99.0
82.0,99.0
82.0,99.0
82.0,100.0
78.0,100.0
76.0,100.0
77.0,100.0
77.0,100.0
81.0,100.0
81.0,100.0
82.0,100.0
81.0,100.0
81.0,100.0
84.0,100.0
83.0,100.0
83.0,100.0
84.0,100.0
83.0,100.0
84.0,100.0
89.0,100.0
89.0,100.0
92.0,100.0
92.0,100.0
92.0,100.0
90.0,100.0
86.0,100.0
85.0,100.0
86.0,100.0
83.0,100.0
80.0,100.0
78.0,100.0
78.0,100.0
78.0,100.0
77.0,100.0
77.0,100.0
78.0,100.0
78.0,100.0
77.0,100.0
78.0,100.0
80.0,99.0
78.0,99.0
77.0,99.0
78.0,99.0
78.0,100.0
77.0,100.0
78.0,100.0
80.0,100.0
79.0,100.0
78.0,100.0
80.0,100.0
81.0,100.0
81.0,100.0
80.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
82.0,100.0
78.0,100.0
81.0,100.0
82.0,100.0
84.0,100.0
84.0,100.0
84.0,100.0
88.0,100.0
87.0,100.0
88.0,100.0
87.0,100.0
89.0,100.0
85.0,100.0
84.0,100.0
